"Policy","Setting","SubSetting","Value","InfoUrl","SupportedPlatform","SupportedSKUs","UnsupportedSKUs","Unique","Duplicate","Conflicting"
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Block user from showing account details on sign-in","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-logon#admx-logon-blockuserfromshowingaccountdetailsonsignin","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Do not display network selection UI","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-windowslogon#windowslogon-dontdisplaynetworkselectionui","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Do not enumerate connected users on domain-joined computers","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-logon#admx-logon-dontenumerateconnectedusers","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Enumerate local users on domain-joined computers","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-windowslogon#windowslogon-enumeratelocalusersondomainjoinedcomputers","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Turn off app notifications on the lock screen","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-windowslogon#windowslogon-disablelockscreenappnotifications","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Turn off picture password sign-in","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-credentialproviders#credentialproviders-blockpicturepassword","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Turn on convenience PIN sign-in","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-credentialproviders#credentialproviders-allowpinlogon","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Require a password when a computer wakes (on battery)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-power#power-requirepasswordwhencomputerwakesonbattery","windows10","Professional; Enterprise; Education; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Require a password when a computer wakes (plugged in)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-power#power-requirepasswordwhencomputerwakespluggedin","windows10","Professional; Enterprise; Education; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Configure Offer Remote Assistance","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remoteassistance#remoteassistance-unsolicitedremoteassistance","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Configure Solicited Remote Assistance","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remoteassistance#remoteassistance-solicitedremoteassistance","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Enable RPC Endpoint Mapper Client Authentication","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remoteprocedurecall#remoteprocedurecall-rpcendpointmapperclientauthentication","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Restrict Unauthenticated RPC clients","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remoteprocedurecall#remoteprocedurecall-restrictunauthenticatedrpcclients","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","","RPC Runtime Unauthenticated Client Restriction to Apply:","Authenticated","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Enable Windows NTP Client","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-w32time#admx-w32time-w32time-policy-enable-ntpclient","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Enable Windows NTP Server","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-w32time#admx-w32time-w32time-policy-enable-ntpserver","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Allow Microsoft accounts to be optional","","Enabled","https://docs.microsoft.com/en-us/windows/client-management/mdm/policy-csp-appruntime#appruntime-allowmicrosoftaccountstobeoptional","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Do not preserve zone information in file attachments (User)","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-attachmentmanager#attachmentmanager-donotpreservezoneinformation","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Notify antivirus programs when opening attachments (User)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-attachmentmanager#attachmentmanager-notifyantivirusprograms","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Disallow Autoplay for non-volume devices","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-autoplay#autoplay-disallowautoplayfornonvolumedevices","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Set the default behavior for AutoRun","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-autoplay#autoplay-setdefaultautorunbehavior","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Default AutoRun Behavior","Do not execute any autorun commands","","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Turn off Autoplay","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-autoplay#autoplay-turnoffautoplay","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Turn off Autoplay on:","All drives","","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Do not display the password reveal button","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-credentialsui#credentialsui-disablepasswordreveal","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Enumerate administrator accounts on elevation","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-credentialsui#credentialsui-enumerateadministrators","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Prevent the use of security questions for local accounts","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-credui#admx-credui-nolocalpasswordresetquestions","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Enable App Installer Experimental Features","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-desktopappinstaller#desktopappinstaller-enableexperimentalfeatures","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Enable App Installer Hash Override","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-desktopappinstaller#desktopappinstaller-enablehashoverride","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Enable App Installer ms-appinstaller protocol","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-desktopappinstaller#desktopappinstaller-enablemsappinstallerprotocol","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Control Event Log behavior when the log file reaches its maximum size","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-eventlogservice#eventlogservice-controleventlogbehavior","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Specify the maximum log file size (KB)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-eventlogservice#eventlogservice-specifymaximumfilesizeapplicationlog","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Maximum Log Size (KB)","32768","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Control Event Log behavior when the log file reaches its maximum size","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-eventlog#admx-eventlog-channel-log-retention-2","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Specify the maximum log file size (KB)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-eventlogservice#eventlogservice-specifymaximumfilesizesecuritylog","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Maximum Log Size (KB)","196608","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Control Event Log behavior when the log file reaches its maximum size","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-eventlog#admx-eventlog-channel-log-retention-3","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Specify the maximum log file size (KB)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-eventlog#admx-eventlog-channel-logmaxsize-3","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Maximum Log Size (KB) (Device)","32768","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Control Event Log behavior when the log file reaches its maximum size","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-eventlog#admx-eventlog-channel-log-retention-4","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Specify the maximum log file size (KB)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-eventlogservice#eventlogservice-specifymaximumfilesizesystemlog","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Maximum Log Size (KB)","32768","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Configure Windows Defender SmartScreen","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-windowsexplorer#admx-windowsexplorer-enablesmartscreen","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Pick one of the following settings: (Device)","Warn and prevent bypass","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Turn off Data Execution Prevention for Explorer","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-fileexplorer#fileexplorer-turnoffdataexecutionpreventionforexplorer","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Turn off heap termination on corruption","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-fileexplorer#fileexplorer-turnoffheapterminationoncorruption","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Turn off shell protocol protected mode","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-windowsexplorer#admx-windowsexplorer-shellprotocolprotectedmodetitle-2","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Block all consumer Microsoft account user authentication","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-msapolicy#admx-msapolicy-microsoftaccount-disableuserauth","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Prevent users from sharing files within their profile. (User)","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-sharing#admx-sharing-noinplacesharing","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Do not allow passwords to be saved","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remotedesktopservices#remotedesktopservices-donotallowpasswordsaving","windows10","Professional; Enterprise; Education; MultiSession; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Do not allow drive redirection","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remotedesktopservices#remotedesktopservices-donotallowdriveredirection","windows10","Professional; Enterprise; Education; MultiSession; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Always prompt for password upon connection","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remotedesktopservices#remotedesktopservices-promptforpassworduponconnection","windows10","Professional; Enterprise; Education; MultiSession; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Require secure RPC communication","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-remotedesktopservices#remotedesktopservices-requiresecurerpccommunication","windows10","Professional; Enterprise; Education; MultiSession; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Require use of specific security layer for remote (RDP) connections","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-terminalserver#admx-terminalserver-ts-security-layer-policy","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","","Security Layer (Device)","SSL","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - Windows Components (4.11) - Windows 11 Intune 4.0.0","Require user authentication for remote connections by using Network Level Authentication","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-terminalserver#admx-terminalserver-ts-user-authentication-policy","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
